"idEquipement","element","disponible","service","panne","obsolete","nonService","reparation"
"113","Plethysmographe","ZWKKzrfIWod","RsSetlzGQNy","ltbVtGNTz0a","XjPGdfRGZGr","IaYHd6AaiN6","aLMfCUKcfzX"
"114","Pompe à nutrition","xNjgUJxEYkh","B1QMySrLhNZ","eUh9WHd1dJJ","ICSB1P4mr77","JJayT5pYnS3","cFB2GR5y3ub"
"115","Pompe à perfusion","gq6MWZtmoXL","mzdj7fHZLlT","cBAsRIHLQMy","QlQEAUJg4sN","PjWIcyABgPh","YdRShXyi9ll"
"116","Pompe de thanatopraxie","v5efYOWIDcY","Fz77jSNwzzs","DmaiDhzYwub","PHUgR8E1cAC","hqWVZWmRpEL","i2KpDovQBgc"
"117","Potentiel Evoqué Auditif (PEA)","uhZvHh8ZiYx","ajFSdklN2Ai","rc8sEAaVOVf","T5oV6NuxMd0","uGrjBqSs4he","m4QoUPgTXww"
"118","Pousse seringue électrique","y5yzhUB9IVm","sMop40WDP6T","cAIfYomzkO3","NntJsqGlUBi","wCTdwkcxXep","Ci0Z33ikOev"
"119","Projecteur de texte d'accuité visuel","f0amegveOFD","NXQbu0IgNov","imGjsI41Pxs","GVeHH7lM82s","hhhHSDeEvdp","WbJL09j7gtc"
"120","Réfrigérateur Médical électrique","FCmNxIgaPWF","gpgB7so4H1Y","vRABypvIT2q","Hm9Lzbt2QHO","kEmHtG4n5F3","gQh6RIzd7LT"
"121","Réfrigérateur Médical solaire","aeMM2ibLuER","YCKhVXZWtEI","yHYpW23fX3Z","lF4ncE0GjGv","fwjsBLgaW8T","vIbrUgSLJln"
"122","Reprographe","n2SbovySQmv","UQb5azshxqo","ieC77Cb6J6y","EXgcCbOv4CB","OgHO4LFRHRV","bDEiGZSXqrv"
"123","Respirateur de Réanimation","YlPfawLiQES","OOLFoLiDSAr","K6psMhm1HG0","m4Mi5pOCfzX","q0NDYp25fem","MrWjEvg5orU"
"124","Rétinographe","n9sbLAnxWau","zwHRHgW1TCC","zeDKu8oYfjX","WrbOUvn4aaW","kue1IThP8Ud","h1FcMLM2caS"
"125","Rhésuscope","NXlAbWDKEoH","CYdXle9BbQJ","Qal11OLTvQj","qDWkUTDCjNO","P5vYRBqsWeg","Dd7pOxUGETN"
"126","scanner (corps entier, mobile ……)","QelEni1OSly","k8qgjVXfqay","OkaF2xX1fJ8","te7xvx6EOg7","WWWX9KwMt15","P8S2FYski9m"
"127","Scie oscillante","ofqS9Kq39hd","iSN389e0lgn","cdWfzZl6sT8","U1bEH8fxA31","dpdOqYdB9Vr","uV7daRXW6s7"
"128","Skiaskope","CNDpghCandL","a19k2XCRf4q","hBfHxjSdrKB","wvilHY9sDS0","G3trFuSdVCr","r3w3lvMB3Nd"
"129","Spectrophotomètre","YCejGxnDeCG","gOXmnZ8PVsp","bw0KtjfXapn","BZOkWxEhRWN","JRgciH6bBK9","csjTF5BB4ka"
"130","Spiromètre","GRz05AIoA8w","RbLKbYHWIVK","AlTkipncrXL","CLJkKTdNbyw","WcBpMiePMDn","vx8v14QuQjw"
"131","Station d'inclusion","a5RTc8Q65XC","enGSxNvte60","tOR9VStDzJZ","yYp1R4xQlW8","SbB6sUkGFDB","J9OOWbYD3Fd"
"132","Stérilisateur (Poupinel)","bZWZjX8LpCU","Lr2IDEqLN3D","YtPAdurNyle","sYLU2ofYGbv","lkk9S9DUlnQ","OOq3DnPhqlX"
"133","Stéthoscope Médical","cHSYGkRDSkK","ikeuemvpUaM","RWAg9NyvU9o","u16zk70WqQb","A7kQP5alH4D","xzgMAuiHZwC"
"134","Stéthoscope Obstétrical","uXbqkmk9zFI","nKos1dHcCXv","RwnTUPiOduz","AYPizyknrmH","pAq28QGf5nB","Y1XzdFunGcj"
"135","Stimulateur magnétique","QuIYsO8acnm","zhGS5QHtnZ7","bhHBeZnqT0K","JFOl1ZHvPri","XFxEDyVeD2X","TWOAqyoPdKX"
"136","Table d'anesthésie","K64kc3844lP","lODgz07JbMX","Fqa2cpiMMUU","hkfwWR3H7c1","M5NtDBzRyo7","jjrOXfPUXjQ"
"137","Table de photothérapie","DO66WJ2KI6r","Q6BhFXiXb5D","TjDN2Gta5c5","xflOa0g6ayA","LSIigrvCopo","dWiPsKJEMMT"
"138","Table de réanimation néonatale","omVsnXUEtrE","rb7GPTpPnz6","hkW5DMyWp9m","g2q9jfg1CeY","IiVNCS5I471","CNe67jlb4Lf"
"139","Tensiomètre (électrique, électronique, mécanique)","XJ2dTN4NSAa","FEdCdwojsBX","zZ5o8DBEt9e","j8PIDQ4kJVL","W6uV2lN3N6D","LRFQnMzPNHQ"
"140","Testeur (de bistouri, défibrillateur …)","hcHnErx7HgJ","OfALQUggwaK","FR9apG6N7Iu","dyOXYgmvBb7","U0y06a4LNwN","r4ag77Ivm8R"
"141","Thermo soudeuse","NxPJxekCj8J","bzlgsHkMNHE","pGTr1TDAg7l","yZTVDsTmDs6","aBPSsCe4Sv6","vVajslbhb5n"
"142","Tonomètre (applanation, à air pulsé)","NQ5LH5Hz94J","v8OhNsO8q5q","eRAg2j74nzb","VBDTf0D0XRq","dE75K8RztFR","GRN2XsJn3ML"
"143","Vélo de réeducation","SKlDhAec0NQ","aXcZP4IPMUO","CUizOdB5kL6","YBaHo6tTDKV","kyO0NUuDOl1","Lu2JBWRogzK"
"144","Ventouse électrique","Z65o5uCR2Uk","dlwi2DGpxIf","covUBGNI4IF","NZ6TN7febON","NoWSt4ih7L4","MKLOmr0Fg3e"
"145","Chariot brancard","","","","","",""
"146","Fauteuil roulants","","","","","",""
"147","Table d'examination médicale","","","","","",""
"148","Escabeau","","","","","",""
"149","Paravent mobile","","","","","",""
"150","Chariot de soins","","","","","",""
"151","Tabouret télescopique mobile","","","","","",""
"152","Table de petite chirurgie","","","","","",""
"153","Table de soins infirmiers","","","","","",""
"154","Lits d'hospitalisation avec table de chevet","","","","","",""
"155","Potence porte-sérum + panier","","","","","",""
"156","Tables d'examination gynécologique","","","","","",""
"157","Tables d'accouchement","","","","","",""
"158","Hémoleucomètre à huit touches","","","","","",""
"159","Lampe d’examen","","","","","",""
"160","Lampe torche","","","","","",""
"161","Pèse bébé + toise","","","","","",""
"162","Stéthoscope de Pinard","","","","","",""
"163","Tensiomètre + stéthoscope","","","","","",""
